127.0.0.1 - - [06/Sep/2020:22:02:48 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Sep/2020:22:02:50 +0900] "GET /nanam/main/index.jsp HTTP/1.1" 200 16831
0:0:0:0:0:0:0:1 - - [06/Sep/2020:22:02:50 +0900] "GET /nanam/js/jquery-ui.min.js HTTP/1.1" 200 239564
0:0:0:0:0:0:0:1 - - [06/Sep/2020:22:02:50 +0900] "GET /nanam/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [06/Sep/2020:22:02:50 +0900] "GET /nanam/css/common.css HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [06/Sep/2020:22:02:50 +0900] "GET /nanam/css/header.css HTTP/1.1" 200 2326
0:0:0:0:0:0:0:1 - - [06/Sep/2020:22:02:50 +0900] "GET /nanam/js/jquery.skitter.js HTTP/1.1" 200 113325
0:0:0:0:0:0:0:1 - - [06/Sep/2020:22:02:50 +0900] "GET /nanam/js/custom.js HTTP/1.1" 200 2189
0:0:0:0:0:0:0:1 - - [06/Sep/2020:22:02:50 +0900] "GET /nanam/js/jquery.skitter.min.js HTTP/1.1" 200 70380
0:0:0:0:0:0:0:1 - - [06/Sep/2020:22:02:50 +0900] "GET /nanam/js/jquery.easing.1.3.js HTTP/1.1" 200 8097
0:0:0:0:0:0:0:1 - - [06/Sep/2020:22:02:50 +0900] "GET /nanam/js/prefixfree.min.js HTTP/1.1" 200 6242
0:0:0:0:0:0:0:1 - - [06/Sep/2020:22:02:50 +0900] "GET /nanam/css/index.css HTTP/1.1" 200 3780
0:0:0:0:0:0:0:1 - - [06/Sep/2020:22:02:50 +0900] "GET /nanam/css/skitter.css HTTP/1.1" 200 11647
0:0:0:0:0:0:0:1 - - [06/Sep/2020:22:02:50 +0900] "GET /nanam/css/footer.css HTTP/1.1" 200 790
0:0:0:0:0:0:0:1 - - [06/Sep/2020:22:02:50 +0900] "GET /nanam/main/images/logo2.gif HTTP/1.1" 404 846
